Video ID,Video Link,Title,Description,Category Id,Category,Watched At
KQXi6U0wvvE,https://www.youtube.com/watch?v=KQXi6U0wvvE,Backwards (30s),,22,People & Blogs,Watched at 8:47 PM
TJR6rPD5ODk,https://www.youtube.com/watch?v=TJR6rPD5ODk,Old Spice Shampoo | Rescue Your Hair,"Achieve thicker, healthier, & more moisturized-looking hair with Old Spice Shampoo.  Try one today and experience the difference!

Shop Old Spice: https://click2cart.com/106000cj",23,Comedy,Watched at 8:43 PM
7ykU27KKUPQ,https://www.youtube.com/watch?v=7ykU27KKUPQ,Power Saver Rewards SuperPowerSaver 15 Chinese Subtitles,PSR SuperPowerSaver 15 Chinese Subtitles,29,Nonprofits & Activism,Watched at 7:35 PM
XigHQ1FlUNk,https://www.youtube.com/watch?v=XigHQ1FlUNk,Aquasana Ditch the Viral Shower Filter — Get up to 50% off,"Aquasana actually does its job.
Get up to 50% off clean, healthy water.",26,Howto & Style,Watched at 6:56 PM
bcTAtNRzMsI,https://www.youtube.com/watch?v=bcTAtNRzMsI,Happy and You Know It,"Supporting our children changes lives every day through innovative pediatric specialty care, world-class research, and outstanding medical education. Make a life-changing impact by giving a gift to the young patients at Shriners Hospitals for Children® facing orthopedic conditions, burns, spinal cord injuries, and cleft lip and palate.

Learn more and give today at lovetotherescue.org.",24,Entertainment,Watched at 6:52 PM
v5mfJ-6h_KA,https://www.youtube.com/watch?v=v5mfJ-6h_KA,Dvarelease Newaudiofeatures Us 16X9 15S VID 1920x1080,,22,People & Blogs,Watched at 6:48 PM
5Zf6ZoMvCms,https://www.youtube.com/watch?v=5Zf6ZoMvCms,PKTV 00088064 000256044,,24,Entertainment,Watched at 6:44 PM
ydorQW-hrb8,https://www.youtube.com/watch?v=ydorQW-hrb8,Write Like a Pro | Write Your Best Work With Grammarly,,27,Education,Watched at 6:40 PM
JqtVmfBGNPI,https://www.youtube.com/watch?v=JqtVmfBGNPI,LD-102423-Your-child-needs-these-3-factors-clients-edit,,22,People & Blogs,Watched at 6:35 PM
bXoOfkFMI20,https://www.youtube.com/watch?v=bXoOfkFMI20,Dvarelease Newaudiofeatures Us 16X9 30S VID 1920x1080,,22,People & Blogs,Watched at 6:30 PM
3kyOHcaYFTQ,https://www.youtube.com/watch?v=3kyOHcaYFTQ,Fall Open House - All Campuses!,"The path to a new career begins with the right education, hands-on training, and a community that supports your aspirations.

If you’re looking for a new career path join us for Carrington College’s Fall Open House at a campus near you on Wednesday, October 23rd from 10 am to 7 pm.

Meet our students, graduates and instructors, view demonstrations, and tour the campus. 

You could graduate in as few as 9 months with the confidence to step right into a career.

Student loans, grants, and scholarships are available to those who qualify.

Enrollment, Financial, and Career Services teams will be on hand to answer your questions. 

So stop by and get all the info you need to prepare for your new career path! 

To reserve your spot for Carrington College’s Fall House on Wednesday, October 23rd from 10 am to 7 pm., go to carrington.edu/events.

Programs vary by location. For information on program outcomes visit carrington.edu/sci.",27,Education,Watched at 6:18 PM
dvDY3Cm4WaY,https://www.youtube.com/watch?v=dvDY3Cm4WaY,Flexible Phone Plan | $35/month for 2 Lines | Unlimited Calls & Texts | Google Fi Wireless,,28,Science & Technology,Watched at 3:35 PM
9tKjhbDOskU,https://www.youtube.com/watch?v=9tKjhbDOskU,3Solutions-1920x1080-FULL-v2-compressed-NG-42224,,22,People & Blogs,Watched at 2:38 PM
4IMQ02gMA0g,https://www.youtube.com/watch?v=4IMQ02gMA0g,"Remitly Helps You Be There, Even When You Can't | Remitly Pillars2 7 IND HIN 6 16x9",,22,People & Blogs,Watched at 2:38 PM
OtQiHLu1Z-U,https://www.youtube.com/watch?v=OtQiHLu1Z-U,See How Latch Unlocks Business Potential with NetSuite_30,"Latch Inc., a system of software, devices, and services used at thousands of top residential properties across the United States, is leveraging Oracle NetSuite to support its mission to simplify building management and improve tenants' quality of life. Latch uses NetSuite to see real-time business insights, from sales to customers to inventory and expenses.",28,Science & Technology,Watched at 1:42 PM
6HVYX8FRSGA,https://www.youtube.com/watch?v=6HVYX8FRSGA,Write A Winning Essay | Better Grades With Grammarly,"This semester, take a smarter approach to written assignments. Confidently submit high-quality papers, essays, and projects using Grammarly. Download it now for free at https://gram.ly/3Eh67JV.

Grammarly suggests prompts to help you ignite ideas, quickly paraphrase text, and transparently show your use of generative AI. From the blank page to the final paper, let your thoughts shine through and improve your grades with Grammarly. Of students using Grammarly, 95% report that Grammarly is an essential tool for them to do well in school.",27,Education,Watched at 12:04 PM
gA8D9ZRsMTk,https://www.youtube.com/watch?v=gA8D9ZRsMTk,Make Childhood Fair For Children Around The World - Donate Now,"➡ Subscribe: http://ow.ly/2oKi30kWzLX 
-----------------------------------------------------------------------------------------------------------
About Save the Children: Save the Children invests in childhood – every day, in times of crisis and for our future. In the United States and around the world, we give children a healthy start, the opportunity to learn and protection from harm. By transforming children's lives now, we change the course of their future and ours.
 
Stay current with Save the Children: 
Facebook: https://www.facebook.com/savethechildren 
Twitter: https://twitter.com/savethechildren 
Instagram: https://instagram.com/savethechildren
 
For more about Save the Children’s work, visit: https://www.savethechildren.org",29,Nonprofits & Activism,Watched at 11:56 AM
kkMye0eHd9s,https://www.youtube.com/watch?v=kkMye0eHd9s,See How UNTUCKit Finds its Perfect Fit with NetSuite_30,"Smart casual clothing brand leverages the power of the suite to help improve business visibility, optimize inventory, and drive growth.",28,Science & Technology,Watched at 11:49 AM
aA0vF3lsu9A,https://www.youtube.com/watch?v=aA0vF3lsu9A,MStew Trailer v19 YouTube Paid v4,"About MasterClass:
MasterClass is the streaming platform where anyone can learn from the world’s best. With an annual membership, subscribers get unlimited access to instructors and classes across a wide range of subjects. Stream thousands of lessons anywhere, anytime, on mobile, desktop, and TV.

• Subscribe: https://mstr.cl/30SH1wj
• TikTok: https://www.tiktok.com/@masterclass
• Instagram: https://www.instagram.com/masterclass
• Twitter: https://www.twitter.com/masterclass
• Facebook: https://www.facebook.com/masterclassofficial

#MasterClass",27,Education,Watched at 11:43 AM
3_AXGQ0sK5s,https://www.youtube.com/watch?v=3_AXGQ0sK5s,What is a Home Warranty and What Does it Cover explained by American Home Shield®,"WHAT IS A HOME WARRANTY?
A home warranty is a year-long, renewable home service plan that helps with the cost to repair or replace parts of a home’s systems and appliances. Home warranties can also be referred to as home warranty policies, home warranty insurance, or home protection plans. It’s not homeowners insurance, but acts as a complement to it – protecting things that your insurance doesn’t. 

Your home systems and appliances, like your water heater and oven, will break down over time. And sometimes, things just stop working, no matter how old they are. It happens. That’s where a home warranty comes in – offering a budget-friendly solution for covered household breakdowns.

And if it’s peace of mind and convenience you’re looking for, we’ve got you covered. Our service plans remove the guesswork. No time spent asking for repair recommendations or calling contractor after contractor. When things go wrong in your home, you’ll know exactly what to do. 

WHAT IS COVERED IN A HOME WARRANTY?
We help protect major parts of your home systems and appliances, no matter their age, no maintenance records or home inspections required. It's similar to appliance insurance or system’s insurance that you may have for one item, but our home warranties help cover multiple items. Depending on the type of warranty you choose, we cover components of home systems, appliances, or both – things like your heating system, water heater, electrical system, dishwasher, clothes washer/dryer, and more.

And if we can’t repair a covered item, we’ll replace it. As a member, we want you to know that your budget, your time, and, let’s be honest, your sanity is all good. 

See the plan contract at https://www.ahs.com/contracts/ for coverage details, including service fees, limitations and exclusions. Charges for non-covered items may apply.

https://www.ahs.com





Subscribe:

http://www.youtube.com/subscription_center?add_user=TheAHSTeam

If there's one thing homeowners know to expect, it's the unexpected. That's why American Home Shield® exists. Our plans cover parts of more than 20 home systems and appliances, when they wear out - no matter their age.

Learn More:
Website: https://www.ahs.com/
Twitter: https://twitter.com/ahs_warranty
Facebook: https://www.facebook.com/team.ahs
Google+: https://plus.google.com/+americanhomeshield/posts?pageId=116051851651300969068
Pinterest: https://www.pinterest.com/TeamAHS/",22,People & Blogs,Watched at 9:53 AM
mq4X51kS0nw,https://www.youtube.com/watch?v=mq4X51kS0nw,Tessa 30 sec 1x1 4.5%,Social media guidelines & legal info: http://rbnhd.co/social_media_disclosures,27,Education,Watched at 9:49 AM
aNFR3cySUxc,https://www.youtube.com/watch?v=aNFR3cySUxc,Pool,"If you're going away with your friends, why share a crowded hotel pool, when you could get an Airbnb with your own pool?

MUSIC
Bossy - Kelis

ANIMATION 
Buck

ABOUT AIRBNB
Airbnb was born in 2008 when two Hosts welcomed three guests to their San Francisco home, and has since grown to millions of Hosts who have welcomed over 800 million guest arrivals in almost every country across the globe. Every day, our Hosts offer one-of-a-kind stays and unique experiences that make it possible for guests to experience the world in a more unique, authentic, connected way.

ABOUT THE CAMPAIGN
When you’re going on a trip, why choose to be cramped in a hotel room, when you could get an Airbnb with a private pool, or a room for everyone? Made in collaboration with Buck animation, these films show the many moments that booking an Airbnb makes more sense than booking a hotel.


CONNECT WITH AIRBNB
Visit the Airbnb website: https://www.airbnb.com
Follow Airbnb on Instagram: https://www.instagram.com/airbnb/
Follow Airbnb on X: https://x.com/airbnb
Follow Airbnb on TikTok: https://www.tiktok.com/@airbnb",19,Travel & Events,Watched at 9:40 AM
qh1sTlau2dw,https://www.youtube.com/watch?v=qh1sTlau2dw,"Budget your digital expenses,with the better way to UPI! | #MobiKwikPocketUPI","How often do you budget your digital expenses?
Do you know how much you ""scan"" and ""send"" every week, month or year?
If the answer's no, try MobiKwik Pocket UPI!
If the answer's yes, try MobiKwik Pocket UPI!

✅ Plan a budget for your digital expenses
✅ Simply top-up your wallet with the amount
✅ Select Pocket UPI & pay any QR or UPI ID

Try the better way to UPI, 
with #MobiKwikPocketUPI

Download the app now: https://w6em.app.link/mbkapp1",22,People & Blogs,Watched at 9:10 AM
rSf_ao41MrU,https://www.youtube.com/watch?v=rSf_ao41MrU,IN_en_6030_diwali-M_Bumper_YT_16x9_6_B_4963001-bumper-e30ae6d22400d3e500e3b144d6fb81c0,"DIWALI / R-IN / 6s-Trv-All Placements_Interest Targeting_Reach_HM_Combined_Diwali 2024_IN_Kids_pi_INC26ARK1AF213-
        IN_en_6030_diwali-M_Bumper_YT_16x9_6_B_4963001-bumper-e30ae6d22400d3e500e3b144d6fb81c0",24,Entertainment,Watched at 9:10 AM
DThef0PAGfg,https://www.youtube.com/watch?v=DThef0PAGfg,"लेकरांच्या रक्षणासाठी, रेणुका आई येत आहे भक्तांसाठी । उदे गं अंबे ।","लेकरांच्या हाकेला आई ही धावून येणारच! श्री रेणुका माता येत आहे तुमच्या भेटीला ११ ऑक्टोबर पासून संध्याकाळी ६:३० वाजता फक्त स्टार प्रवाहवर!

Subscribe to Star Pravah on YouTube:    / @starpravahindia  

Click the Bell Icon 🔔 to get notified about our latest updates


#UdeGaAmbe #SadetinShaktipeeth #NewShow #StarPravah #marathitvserial #mythology #ambe #maa #entertainment #highlights #promo #teaser 

Click here to Subscribe Star Pravah :    / @starpravahindia  

 
Connect with Star Pravah on Social Media

Hotstar : https://www.hotstar.com/in/channels/s...
Facebook :   / starpravahofficial  
Instagram :   / star_pravah  
Twitter :   / starpravah",24,Entertainment,Watched at 9:10 AM
cYx4HOaIAB4,https://www.youtube.com/watch?v=cYx4HOaIAB4,BRU Gold - Premium Freeze-Dried Coffee,"Indulge in a spoonful of luxury with the new Bru Gold - Freeze-Dried Coffee!  Enjoy the intense coffee taste and a rich experience
It's not just a coffee, it's a spoonful of luxury!",24,Entertainment,Watched at 9:10 AM
t9eyhT4S3KQ,https://www.youtube.com/watch?v=t9eyhT4S3KQ,Make Room for All Things Festive with IKEA | STRANDMON,"Whether you’re catching a break or capturing memories, the corner with STRANDMON is where it can all happen. Make room for all things festive with IKEA.

#IKEA #GharAajao #AllThingsFestive",26,Howto & Style,Watched at 9:09 AM
1DZp5FDPaLg,https://www.youtube.com/watch?v=1DZp5FDPaLg,#BadalLifeKiRaftaar with NESCAFÉ,"Stepping up in life brings with it newness and excitement. As you step out of your home, many new challenges will come your way. Rise up to them with your partner, NESCAFÉ - as its time to #BadalLifeKiRaftaar

#NESCAFÉ #NESCAFÉClassic #NESCAFE #NESCAFEClassic #Coffee #coffee #coffeetime #coffeegram #coffeelover",22,People & Blogs,Watched at 8:57 AM
-7aWyWWUMHg,https://www.youtube.com/watch?v=-7aWyWWUMHg,Get Ubtan Wala Glow Everyday with Mamaearth Ubtan Face Wash,"Want that ultimate ubtan wala glow, everyday just like Shilpa Shetty Kundra? Pamper your skin with the age-old tradition of Ubtan and let your dull, tanned skin rejuvenate and glow naturally with Mamaearth Ubtan Face Wash. It is enriched with the natural goodness of Turmeric and Saffron and is traditionally known to fight sun tan and brighten skin.

Hashtags: #GoodnessInside #Mamaearth #UbtanWalaGlowEveryday",22,People & Blogs,Watched at 8:57 AM
O8QOG22cho4,https://www.youtube.com/watch?v=O8QOG22cho4,"Remitly Helps You Be There, Even When You Can't | Remitly Pillars2 1 KEN ENG 6 16x9",,22,People & Blogs,Watched at 1:34 AM
LeQVLFLbo2U,https://www.youtube.com/watch?v=LeQVLFLbo2U,URX 505 V10 IL U4B Airport TakingOff Request RiderAirport 1 91x1 US EN US,"VIDEO SPECIFIC DESCRIPTION

Learn more about Uber: https://t.uber.com/jI9bgN  

SUBSCRIBE: https://www.youtube.com/user/UberWorldwide?sub_confirmation=1
 
About Uber:
We reimagine the way the world moves for the better. For all the places you want to go. For all the ways you want to earn. Across the entire world. In real time. At the incredible speed of now.
 
Connect with Uber:
Ride with Uber: https://t.uber.com/jI9bgN
Like Uber on FACEBOOK: https://t.uber.com/JRnKEt
Follow Uber on TWITTER: https://t.uber.com/4ph4wT
Follow Uber on INSTAGRAM: https://t.uber.com/O0DZwe
Follow Uber on TIKTOK:  https://t.uber.com/we6XDR
 
VIDEO TITLE | Uber
https://www.youtube.com/user/UberWorldwide",28,Science & Technology,Watched at 1:34 AM
aA0vF3lsu9A,https://www.youtube.com/watch?v=aA0vF3lsu9A,MStew Trailer v19 YouTube Paid v4,"About MasterClass:
MasterClass is the streaming platform where anyone can learn from the world’s best. With an annual membership, subscribers get unlimited access to instructors and classes across a wide range of subjects. Stream thousands of lessons anywhere, anytime, on mobile, desktop, and TV.

• Subscribe: https://mstr.cl/30SH1wj
• TikTok: https://www.tiktok.com/@masterclass
• Instagram: https://www.instagram.com/masterclass
• Twitter: https://www.twitter.com/masterclass
• Facebook: https://www.facebook.com/masterclassofficial

#MasterClass",27,Education,Watched at 11:59 PM
JqtVmfBGNPI,https://www.youtube.com/watch?v=JqtVmfBGNPI,LD-102423-Your-child-needs-these-3-factors-clients-edit,,22,People & Blogs,Watched at 11:53 PM
HZ2sE-wzzkQ,https://www.youtube.com/watch?v=HZ2sE-wzzkQ,2024 Reverse Chip Repair 30 SLT0721242AH YouTube,,2,Autos & Vehicles,Watched at 11:49 PM
IBF3hRlqz5c,https://www.youtube.com/watch?v=IBF3hRlqz5c,What a First Year Teacher Learned (60s),"👉 SUBSCRIBE: http://bit.ly/Subscribe2EducationDotCom
👉 WEBSITE: https://education.com
👉 FACEBOOK: https://www.facebook.com/Education.co...
👉 PINTEREST: https://www.pinterest.com/education_com/
👉 TWITTER: https://twitter.com/education_com
👉 INSTAGRAM: https://www.instagram.com/education_com/
👉 BRAINZY GAMES: https://www.education.com/games/play/#login",27,Education,Watched at 11:44 PM
aQIukWnQmmk,https://www.youtube.com/watch?v=aQIukWnQmmk,Make Childhood Fair For Children Around The World - Donate Now,"➡ Subscribe: http://ow.ly/2oKi30kWzLX 
-----------------------------------------------------------------------------------------------------------
About Save the Children: Save the Children invests in childhood – every day, in times of crisis and for our future. In the United States and around the world, we give children a healthy start, the opportunity to learn and protection from harm. By transforming children's lives now, we change the course of their future and ours.
 
Stay current with Save the Children: 
Facebook: https://www.facebook.com/savethechildren 
Twitter: https://twitter.com/savethechildren 
Instagram: https://instagram.com/savethechildren
 
For more about Save the Children’s work, visit: https://www.savethechildren.org",29,Nonprofits & Activism,Watched at 10:37 PM
aqODd7AgLcI,https://www.youtube.com/watch?v=aqODd7AgLcI,bex_usa-en_made_to_travel-beach-no_matter_what-microstories-beach-hike-attach_16x9_6s,,19,Travel & Events,Watched at 8:51 PM
O8QOG22cho4,https://www.youtube.com/watch?v=O8QOG22cho4,"Remitly Helps You Be There, Even When You Can't | Remitly Pillars2 1 KEN ENG 6 16x9",,22,People & Blogs,Watched at 8:51 PM
KQXi6U0wvvE,https://www.youtube.com/watch?v=KQXi6U0wvvE,Backwards (30s),,22,People & Blogs,Watched at 6:57 PM
Hdl1kbgA1Ks,https://www.youtube.com/watch?v=Hdl1kbgA1Ks,Silicon Valley Recovery - Treatment That Feels Like Home,Call today - 408-549-2446,22,People & Blogs,Watched at 3:40 PM
HHk7TRGByKA,https://www.youtube.com/watch?v=HHk7TRGByKA,Google Fi Wireless | A phone plan by Google | Activate with eSIM,,28,Science & Technology,Watched at 3:37 PM
Mmm9ptrumf4,https://www.youtube.com/watch?v=Mmm9ptrumf4,4383575 4001 NULL YOUTUBE WTYW FY25 APRL EYEP NOBO VID 1080x1920 15 GM AA EL 23122830117PWW66F76G,"Save Money. Live Better.

Subscribe to Walmart on YouTube: http://bit.ly/1tVy1CI  
Like Walmart on Facebook: http://on.fb.me/1qS59V6 
Follow Walmart on Pinterest: http://bit.ly/1vR6XBY 
Follow Walmart on Twitter: http://bit.ly/1pMbNfy 
Follow Walmart on Instagram: http://bit.ly/1FMiiJX",24,Entertainment,Watched at 10:39 AM
EQ5yXRdoLJ0,https://www.youtube.com/watch?v=EQ5yXRdoLJ0,Want To Earn $158K/Year By Starting a Simple Online Bookkeeping Business?,"Bill Von Fumetti CPA has helped over 7,500 people start and grow online bookkeeping businesses which allows them to afford the life they want to live, with the free time to actually enjoy it.

Join us live for the 5-day Keyboard Rich Bookkeeping Challenge where you'll learn about how to start and grow an online bookkeeping bookkeeping business which gives you more time and financial freedom, regardless if you have experience or not.

Just click the link and we'll see you on the live challenge.",22,People & Blogs,Watched at 9:57 AM
FhHmMURnqqI,https://www.youtube.com/watch?v=FhHmMURnqqI,Affordable Unlimited Phone Plan | $80/month for 2 Lines | Google Fi Wireless,,28,Science & Technology,Watched at 9:53 AM
or4P0p_ojkM,https://www.youtube.com/watch?v=or4P0p_ojkM,Same Room,"If your family needs more space on your next trip, why cram into a hotel room when you could get an Airbnb with room for everyone?

ABOUT AIRBNB:
Every day, people Airbnb their homes offering unique stays and one-of-a-kind activities that make it possible for guests to experience the world in a more authentic, connected way.

ABOUT THE CAMPAIGN:
When you’re going on a trip, why choose to be cramped in a hotel room, when you could get an Airbnb with a private pool, or a room for everyone? Made in collaboration with Buck Animation, these films show the many moments that booking an Airbnb makes more sense than booking a hotel.

SUBSCRIBE
https://www.youtube.com/channel/UCCww

CONNECT WITH AIRBNB
Visit the Airbnb website: https://www.airbnb.com
Follow Airbnb on Instagram: https://www.instagram.com/airbnb/
Follow Airbnb on X: https://X.com/airbnb
Follow Airbnb on TikTok: https://www.tiktok.com/@airbnb",19,Travel & Events,Watched at 9:53 AM
zxOCVZwtGn4,https://www.youtube.com/watch?v=zxOCVZwtGn4,Animation Gold 4.5% 15s 1x1 v4,Social media guidelines & legal info: http://rbnhd.co/social_media_disclosures,27,Education,Watched at 9:49 AM
4IMQ02gMA0g,https://www.youtube.com/watch?v=4IMQ02gMA0g,"Remitly Helps You Be There, Even When You Can't | Remitly Pillars2 7 IND HIN 6 16x9",,22,People & Blogs,Watched at 9:49 AM
Gh7P7gZKTyU,https://www.youtube.com/watch?v=Gh7P7gZKTyU,Pushed Out (30),,22,People & Blogs,Watched at 11:11 PM
mMZfo_49SEA,https://www.youtube.com/watch?v=mMZfo_49SEA,T1 NAWB | US | Tennis | Hero 30s Adaption V2 | 16x9 | Amazon,,24,Entertainment,Watched at 10:52 PM
azO_E29gigE,https://www.youtube.com/watch?v=azO_E29gigE,PB2024   Fall Core   15   1920x1080   YOUTUBE,,24,Entertainment,Watched at 5:53 PM
zrSEFh9QN0I,https://www.youtube.com/watch?v=zrSEFh9QN0I,Write Like A Winner | Write Your Best Work With Grammarly,,27,Education,Watched at 5:42 PM
3Mioip8y7cQ,https://www.youtube.com/watch?v=3Mioip8y7cQ,American Express® Gold Card | American Express,"» Subscribe to the Amex YouTube Channel: http://bit.ly/SubscribeAMEX 

Powerfully backing our customers, colleagues, and communities. #withAmex
   
About: American Express is a global service company, providing customers with exceptional access to charge and credit cards, insights and experiences that enrich lives and build business success. Get up close to the passionate lives of rising artists, a new wave of entrepreneurs, and everyday people. Join us for everyday inspiration on the official American Express YouTube channel. 

More from American Express!
Instagram: https://www.instagram.com/americanexpress/ 
Twitter: https://twitter.com/AmericanExpress
Facebook: https://www.facebook.com/AmericanExpressUS 
LinkedIn: https://www.linkedin.com/company/american-express 
 
American Express® Gold Card | American Express
https://youtu.be/3Mioip8y7cQ",24,Entertainment,Watched at 5:37 PM
